Date,Facebook Ad Views,Facebook Ad Clicks,Facebook Ad Conversions,Facebook Ad Cost Per Day,Instagram Ad Views,Instagram Ad Clicks,Instagram Ad Conversions,Instagram Ad Cost Per Day
09-02-2025,15005,1766,480,636,9682,554,55,364
10-02-2025,16658,1988,536,664,13626,1052,185,307
11-02-2025,13899,2097,740,500,15424,883,91,600
12-02-2025,19734,2135,804,453,8933,634,110,642
13-02-2025,13267,1891,685,372,11598,908,109,631
14-02-2025,13528,1801,458,500,9980,541,105,375
15-02-2025,23394,2755,1047,595,11056,803,109,473
16-02-2025,15556,1947,590,316,16984,1023,135,346
17-02-2025,15890,1833,567,428,8791,778,89,314
18-02-2025,20838,2848,756,516,13390,928,121,660
19-02-2025,23080,2420,872,360,14635,1203,225,446
20-02-2025,17393,1744,483,403,10255,738,147,325
21-02-2025,22627,3115,1042,341,11610,600,82,607
22-02-2025,20792,2321,872,324,9607,723,104,392
23-02-2025,22555,2351,619,338,13179,1160,199,531
24-02-2025,22253,2755,909,590,14573,1079,203,320
25-02-2025,20433,2105,599,430,8984,743,118,606
26-02-2025,22233,3406,1026,528,13776,1176,163,337
27-02-2025,23016,2339,751,407,11676,690,97,575
28-02-2025,19513,2629,797,471,11380,665,112,456
01-03-2025,14612,1845,640,401,16711,1243,124,478
02-03-2025,19041,2671,859,653,16782,1115,180,431
03-03-2025,21555,2579,870,311,9050,756,102,610
04-03-2025,18235,1993,718,574,11633,1000,179,647
05-03-2025,17486,2778,926,400,14342,919,100,327
06-03-2025,19099,2871,970,343,8959,532,84,559
07-03-2025,21670,3285,1099,604,14059,1141,168,375
08-03-2025,22748,2616,802,316,16884,1029,168,366
09-03-2025,12775,1307,392,629,13655,1132,120,641
10-03-2025,24206,2861,1101,356,12473,835,131,493
11-03-2025,20226,2674,912,610,10946,839,131,461
12-03-2025,15152,1812,519,602,15725,846,132,646
13-03-2025,22147,3314,1076,311,8526,639,102,660
14-03-2025,13585,1579,472,617,11224,764,128,556
15-03-2025,15943,2517,981,379,9875,725,130,371
16-03-2025,19555,2492,625,515,9763,553,70,386
17-03-2025,15073,2268,643,638,16712,1328,242,561
18-03-2025,13021,1453,442,563,13797,1166,174,513
19-03-2025,23653,2949,953,448,17208,1009,108,452
20-03-2025,22805,3237,1222,380,15099,812,85,509
21-03-2025,15843,1715,451,514,13109,667,88,360
22-03-2025,19989,2158,800,673,14644,1108,197,567
23-03-2025,21692,3431,886,497,8116,602,102,561
24-03-2025,24990,3570,1343,499,10433,749,133,517
25-03-2025,18873,1933,498,324,13463,798,121,582
26-03-2025,17675,2190,553,388,8583,563,81,435
27-03-2025,12161,1532,543,567,16586,1223,140,679
28-03-2025,16297,2357,941,442,11788,823,109,661
29-03-2025,22173,2551,980,358,12167,1089,156,392
30-03-2025,12995,1443,485,664,16465,913,99,408
31-03-2025,23534,2467,956,325,9389,730,89,540
01-04-2025,24743,3110,779,346,16357,1082,172,654
02-04-2025,19629,2773,1098,587,17759,1192,206,441
03-04-2025,23990,2482,803,565,14154,1113,222,590
04-04-2025,21467,3325,1191,315,13420,1042,201,536
05-04-2025,13016,1647,614,498,16920,1516,249,639
06-04-2025,19869,2272,812,581,10043,553,78,611
07-04-2025,18439,1947,643,385,12197,660,107,476
08-04-2025,19892,2207,709,549,11496,907,161,440
09-04-2025,18863,2944,1106,690,8778,641,71,488
10-04-2025,19916,2754,773,569,8213,500,70,348
11-04-2025,20529,2689,1062,634,11762,625,114,601
12-04-2025,12878,1795,640,416,17768,949,131,668
13-04-2025,21268,2682,750,306,14731,1263,198,489
14-04-2025,16887,2428,875,436,11117,641,101,435
15-04-2025,24185,2487,819,670,13791,867,102,342
16-04-2025,16859,2258,804,475,16783,991,134,679
17-04-2025,18331,2007,732,627,10720,688,91,652
18-04-2025,20571,2205,580,614,16905,892,91,389
19-04-2025,20684,2492,812,514,17127,1211,124,594
20-04-2025,19208,2026,789,381,14047,740,135,640
21-04-2025,17276,1825,544,522,16032,1314,167,544
22-04-2025,14062,1668,565,671,8001,474,71,491
23-04-2025,24076,3822,1167,402,14368,1028,133,617
24-04-2025,12064,1333,424,572,9949,847,164,405
25-04-2025,20006,2021,671,313,14732,1120,141,662
26-04-2025,14568,2124,705,458,15833,1129,161,609
27-04-2025,17463,2591,726,451,8917,561,105,681
28-04-2025,14027,1694,597,407,11174,707,130,532
29-04-2025,14695,1879,494,487,15014,1152,136,564
30-04-2025,21687,3014,816,600,8089,726,130,643
01-05-2025,17258,1775,444,397,9709,742,108,336
02-05-2025,17618,2765,739,430,11041,798,118,604
03-05-2025,18736,2870,921,592,8105,642,72,340
04-05-2025,12391,1433,488,470,17078,1171,126,316
05-05-2025,24706,2493,920,482,16619,870,150,643
06-05-2025,24666,3848,1023,663,9895,717,107,576
07-05-2025,17892,2327,878,338,14090,1244,178,606
08-05-2025,15561,2059,745,314,16508,941,162,358
09-05-2025,22470,3169,986,675,14082,1092,192,482
10-05-2025,18184,2490,970,303,8634,501,58,340
11-05-2025,15099,2365,942,648,9925,708,114,338
12-05-2025,18278,2863,803,696,10056,541,61,696
13-05-2025,20392,3100,951,509,14917,1014,177,491
14-05-2025,15104,2087,811,460,11144,894,148,566
15-05-2025,19215,2844,1018,315,17631,1126,220,446
16-05-2025,24790,3486,896,407,8552,655,70,694
17-05-2025,14454,1942,713,681,16907,1383,146,632
18-05-2025,23837,2567,960,610,13383,1165,149,426
19-05-2025,20996,3121,1131,526,11911,707,89,345
20-05-2025,14731,2198,813,469,17905,1181,147,344
21-05-2025,22965,3158,1180,333,11389,638,121,300
22-05-2025,20154,3007,835,550,17299,1551,193,467
23-05-2025,21762,3026,863,546,16442,1431,182,407
24-05-2025,17056,1917,661,568,10430,746,131,318
25-05-2025,20110,2341,904,440,8458,707,102,631
26-05-2025,22882,2582,767,573,8207,581,103,371
27-05-2025,15840,1942,656,395,8899,666,70,408
28-05-2025,13028,1333,469,526,8021,429,63,567
29-05-2025,19385,2657,844,678,16601,1331,137,539
30-05-2025,12502,1502,536,338,8894,490,52,600
31-05-2025,18910,2634,1013,601,8514,707,134,389
01-06-2025,24685,3039,1044,328,15294,1243,141,402
02-06-2025,21062,2967,981,617,12904,1011,154,549
03-06-2025,18938,2280,720,544,15867,816,115,307
04-06-2025,16488,1906,641,535,12109,752,101,452
05-06-2025,12206,1583,480,484,15179,918,174,646
06-06-2025,17134,2425,748,571,9560,615,62,473
07-06-2025,17977,2173,716,535,9266,495,82,642
08-06-2025,19721,3080,800,538,11638,1018,199,457
09-06-2025,19035,1948,553,676,16941,1222,190,514
10-06-2025,13484,1686,558,565,11427,710,137,476
11-06-2025,19858,3138,987,658,12780,841,88,474
12-06-2025,12863,1709,512,639,9927,673,95,639
13-06-2025,14790,1854,666,688,10356,766,96,637
14-06-2025,19408,2602,921,364,12790,903,156,445
15-06-2025,20755,2792,767,476,8306,720,142,623
16-06-2025,17116,2462,939,302,15979,1116,140,460
17-06-2025,24383,2625,851,441,11665,1046,173,426
18-06-2025,18019,2072,748,675,15057,1265,151,381
19-06-2025,13757,1854,622,457,8661,505,79,446
20-06-2025,19574,2975,1188,623,12644,1102,161,538
21-06-2025,18374,2456,891,445,16503,901,177,383
22-06-2025,18892,2159,768,592,10920,903,145,412
23-06-2025,13678,1925,706,452,17274,1126,151,524
24-06-2025,15242,2200,597,492,16946,1442,160,631
25-06-2025,16636,1901,533,372,14236,1206,138,677
26-06-2025,13059,1601,571,698,14078,1157,141,542
27-06-2025,18668,2465,798,604,8352,681,85,442
28-06-2025,21914,2844,1032,676,17094,1063,196,340
29-06-2025,23506,2900,769,643,15005,798,124,557
30-06-2025,15157,1786,590,439,8158,539,82,584
01-07-2025,17915,1898,582,486,8956,509,56,404
02-07-2025,22817,2354,749,592,10071,783,145,501
03-07-2025,22921,3610,1229,360,16595,1059,182,606
04-07-2025,21789,3286,1069,679,17579,1564,166,630
05-07-2025,23252,2820,933,497,11453,866,147,565
06-07-2025,14693,2312,746,594,14675,1216,187,697
07-07-2025,15627,2197,684,618,8955,495,53,509
08-07-2025,21555,2779,1016,601,14295,1207,176,350
09-07-2025,22173,2873,723,643,9712,844,125,417
10-07-2025,17450,1832,622,310,12703,882,102,500
11-07-2025,13663,1441,482,361,14563,1081,210,676
12-07-2025,21721,2957,1056,632,17465,1407,260,338
13-07-2025,22230,2961,1006,525,13631,776,129,327
14-07-2025,17592,1983,741,452,17633,1236,180,558
15-07-2025,23494,3683,1450,498,17989,1186,167,383
16-07-2025,22429,3294,992,351,9394,524,86,454
17-07-2025,19392,2071,588,559,17461,1129,174,416
18-07-2025,13306,2073,649,358,12732,671,71,301
19-07-2025,24221,3837,1124,371,11714,597,90,392
20-07-2025,18776,2999,1026,447,8529,472,85,465
21-07-2025,22867,2363,913,648,10958,970,141,686
22-07-2025,17864,2576,697,362,15904,1144,120,699
23-07-2025,21474,2850,755,609,11591,1027,183,649
24-07-2025,19526,2779,801,672,14895,1002,120,595
25-07-2025,20901,3304,1185,542,17131,1070,134,557
26-07-2025,17575,2483,841,665,8525,598,69,380
27-07-2025,17530,2633,698,629,14477,978,130,567
28-07-2025,24936,3790,1469,406,8001,433,76,534
29-07-2025,16413,2467,909,525,8374,633,96,620
30-07-2025,15748,1977,501,612,12648,741,89,610
31-07-2025,24971,2830,984,517,10365,775,145,600
01-08-2025,12663,1567,573,540,9525,723,135,656
02-08-2025,13998,2148,657,558,9646,540,101,512
03-08-2025,19994,2175,566,675,8013,420,52,361
04-08-2025,23637,3091,808,561,12599,1023,148,348
05-08-2025,23935,2728,724,304,10278,702,139,426
06-08-2025,13495,1820,684,560,11155,583,103,522
07-08-2025,15304,2322,897,353,16321,1465,150,578
08-08-2025,15763,2408,646,346,11814,618,65,593
09-08-2025,17232,1967,561,514,11216,872,127,583
10-08-2025,13853,2139,587,476,16219,1449,276,576
11-08-2025,18585,2518,699,308,10113,602,92,406
12-08-2025,24851,3007,1129,398,17444,971,145,445
13-08-2025,13291,1893,567,319,12356,677,74,398
14-08-2025,15581,2008,595,677,13543,841,139,674
15-08-2025,23649,2901,824,540,12555,678,123,372
16-08-2025,19554,2782,949,360,15062,1170,161,421
17-08-2025,19280,2215,679,678,11374,597,106,329
18-08-2025,13636,1633,590,477,14430,1015,199,487
19-08-2025,15696,1978,555,637,11466,1030,123,663
20-08-2025,23191,2672,983,361,11081,914,139,653
21-08-2025,23344,2901,987,444,8629,643,82,587
22-08-2025,12698,1705,455,515,8269,514,92,494
23-08-2025,22352,3228,1007,302,13724,1028,162,455
24-08-2025,24289,3546,1345,459,13897,987,161,471
25-08-2025,16737,2499,970,526,11432,766,137,634
26-08-2025,12854,1859,594,568,17472,964,134,340
27-08-2025,20164,2840,914,419,14276,1220,233,362
28-08-2025,17855,2039,790,680,13895,944,144,322
29-08-2025,19392,2404,812,388,15115,873,101,659
30-08-2025,18528,2383,607,628,14656,948,160,374
31-08-2025,23666,2484,961,367,8575,570,102,347
01-09-2025,17249,2271,652,697,15029,1248,164,459
02-09-2025,17172,2166,729,656,14099,1118,207,612
03-09-2025,13707,2030,557,397,17499,1413,269,417
04-09-2025,22969,3644,929,566,11192,564,72,399
05-09-2025,17791,2372,703,404,11178,744,147,679
06-09-2025,21925,2616,960,622,14052,973,110,466
07-09-2025,17535,1799,524,422,10734,544,65,589
08-09-2025,16931,2632,744,328,14116,852,100,455
09-09-2025,15510,2406,678,436,11568,930,176,306
10-09-2025,12202,1405,459,494,17847,990,163,495
11-09-2025,23447,3323,1317,525,17771,1269,146,355
12-09-2025,16218,1695,540,631,10203,597,85,620
13-09-2025,24688,2715,905,469,9390,474,76,492
14-09-2025,20958,2368,897,308,9742,581,62,346
15-09-2025,16389,1928,636,339,9925,883,166,447
16-09-2025,14327,2288,635,324,8619,707,127,574
17-09-2025,20004,2836,836,560,9274,819,123,456
18-09-2025,14931,1837,544,694,8956,622,122,501
19-09-2025,19777,2852,882,525,9939,540,76,425
20-09-2025,12197,1889,593,423,11953,859,170,694
21-09-2025,19125,3012,1114,337,8968,611,101,604
22-09-2025,13930,1441,435,627,17508,1466,239,668
23-09-2025,23774,2940,941,550,17235,929,108,593
24-09-2025,18287,1945,668,688,8281,575,108,363
25-09-2025,20800,2498,766,475,14262,798,113,624
26-09-2025,23464,2585,970,389,9058,570,66,691
27-09-2025,21339,2962,1001,336,12293,977,98,475
28-09-2025,16282,2007,590,615,13178,909,141,415
29-09-2025,23589,2683,958,475,14980,974,148,503
30-09-2025,14511,1682,553,583,17200,1131,194,620
01-10-2025,21986,2673,882,380,9229,631,119,330
02-10-2025,12659,1463,471,413,17227,1402,151,687
03-10-2025,14811,1883,611,339,12585,1078,186,412
04-10-2025,19098,1946,709,600,16467,1452,172,664
05-10-2025,18546,2165,574,523,10740,875,162,624
06-10-2025,21561,2688,806,617,10289,644,117,675
07-10-2025,13986,1904,497,648,9239,716,110,643
08-10-2025,20338,2364,858,414,13370,902,154,366
09-10-2025,23411,2528,735,485,8125,489,64,374
10-10-2025,14911,1559,599,622,15473,1294,190,344
11-10-2025,13734,2148,706,355,17400,896,163,559
12-10-2025,13843,1730,640,339,13342,1148,167,453
13-10-2025,20680,2789,1106,653,15351,1050,142,454
14-10-2025,14976,2323,873,339,14638,1104,164,662
15-10-2025,13959,1465,556,646,14570,1112,203,533
16-10-2025,17759,2710,843,536,11249,965,128,350
17-10-2025,18694,2488,827,588,17110,1291,151,605
18-10-2025,14385,1580,455,561,15595,1162,198,561
19-10-2025,23111,2881,805,515,14294,752,137,614
20-10-2025,16736,2454,799,446,14527,1027,113,424
21-10-2025,13802,1778,603,635,13757,770,95,698
22-10-2025,20155,3207,964,467,9969,792,90,544
23-10-2025,20120,2466,827,391,8891,626,84,329
24-10-2025,18616,2698,1033,652,12470,962,139,421
25-10-2025,17534,2166,722,358,15175,784,137,424
26-10-2025,16061,2405,861,358,17556,937,154,336
27-10-2025,23561,3160,1171,603,16320,1283,207,469
28-10-2025,12262,1272,506,468,17206,909,122,423
29-10-2025,18287,1869,636,568,17991,950,174,656
30-10-2025,20815,2248,834,662,14812,747,109,334
31-10-2025,21208,2138,843,344,15519,1369,270,386
01-11-2025,23835,2491,975,644,12612,1002,163,433
02-11-2025,14049,1987,538,480,17710,1135,127,495
03-11-2025,17423,2300,715,469,9198,569,95,573
04-11-2025,23915,3467,1035,655,13238,847,112,500
05-11-2025,16548,2561,673,490,14089,1141,192,668
06-11-2025,15108,2041,704,454,14257,1090,116,584
07-11-2025,24282,3486,1256,487,15705,901,105,376
08-11-2025,19158,2786,1050,306,11719,667,123,358
09-11-2025,22248,2729,732,432,8302,447,54,425
10-11-2025,19400,2220,846,534,8986,686,126,408
11-11-2025,15170,1703,589,344,12440,1002,128,523
12-11-2025,21874,2517,895,613,12909,782,128,577
13-11-2025,14255,1660,641,548,11072,562,95,367
14-11-2025,13154,1478,508,330,11124,592,89,368
15-11-2025,16499,2519,756,322,17519,1554,202,464
16-11-2025,18295,2660,994,693,16125,996,120,604
17-11-2025,18197,1870,569,459,11291,911,94,696
18-11-2025,23383,2715,692,662,12033,902,117,461
19-11-2025,21888,2217,830,457,13105,855,141,664
20-11-2025,24183,3141,947,338,8703,506,98,641
21-11-2025,24915,3203,1172,381,16133,884,165,608
22-11-2025,24874,3728,1134,655,8574,639,112,678
23-11-2025,13648,1616,612,557,13704,1109,198,642
24-11-2025,17539,2613,739,505,15848,1200,199,686
25-11-2025,21637,3420,1354,376,13208,940,118,341
26-11-2025,16199,1705,625,311,14924,771,147,653
27-11-2025,24115,3557,950,594,11828,1049,175,408
28-11-2025,20445,2768,926,523,11230,920,143,350
29-11-2025,23375,3010,1197,312,8488,523,58,549
30-11-2025,14557,1823,584,345,15114,1348,195,640
01-12-2025,17592,2587,717,454,17539,1299,189,682
02-12-2025,12098,1673,539,412,11173,818,152,320
03-12-2025,14200,2105,688,532,9667,772,119,599
04-12-2025,14961,2306,833,316,17829,1470,202,438
05-12-2025,16973,2325,824,659,12114,923,182,658
06-12-2025,16433,2610,810,522,11553,636,70,623
07-12-2025,23969,3271,924,653,15761,1001,142,684
08-12-2025,14869,2054,712,487,9000,784,81,391
09-12-2025,23426,3122,977,643,17042,1005,174,579
10-12-2025,23983,2529,682,664,9388,609,116,424
11-12-2025,12956,1860,716,462,13450,904,115,696
12-12-2025,24259,3222,1139,625,11712,791,146,410
13-12-2025,20352,2585,911,373,9367,698,90,653
14-12-2025,17699,2736,1021,532,16189,1420,271,438
15-12-2025,18944,2233,735,523,17013,1014,177,572
16-12-2025,16493,2167,806,618,8454,463,83,398
17-12-2025,21492,3048,989,359,17816,1031,104,551
18-12-2025,16911,2499,649,634,10772,920,180,637
19-12-2025,15987,2039,633,521,11726,889,153,403
20-12-2025,21719,3269,1061,336,15232,935,121,513
21-12-2025,18015,2632,942,577,12806,1058,193,548
22-12-2025,13218,1374,365,495,10190,860,110,451
23-12-2025,16496,1694,459,651,17108,1434,268,549
24-12-2025,16735,2296,664,541,10875,943,104,574
25-12-2025,23296,2815,816,623,13592,816,139,464
26-12-2025,22927,2580,928,518,9440,757,116,640
27-12-2025,16555,2231,641,491,16927,1158,126,307
28-12-2025,21146,2547,878,316,14059,1176,146,583
29-12-2025,20050,2651,859,311,15010,1187,120,304
30-12-2025,24757,3159,1061,693,15117,1225,179,444
31-12-2025,15446,2086,783,673,17153,1307,170,400
